,Continent,Item,bee_commodity_corr,bee_prod_corr,bee_area_corr,bee_yield_corr,commodity_prod_corr,commodity_area_corr,commodity_yield_corr,data_points
50,North America,Apples,-0.05783287720258816,0.7254489404992672,0.8896911296568656,0.44754658065787856,-0.02926291366086554,-0.02312081209630689,-0.033294169781916336,254
51,North America,Sunflower seed,-0.061629721456517655,0.5114186070816908,0.5403761538591164,-0.10860764893754712,-0.030551614914355568,-0.020846026047568748,-0.22345590181273603,128
52,North America,Wheat,-0.04515065603758248,0.6845055237181759,0.7046468652309524,0.4671216103100645,-0.0031306582304352747,-0.003308773173678057,0.008834414699364287,317
53,North America,"Almonds, in shell",-0.6747570218638712,-0.6878465154107078,-0.7241087777306597,-0.7499549049159298,-0.0005645554773467188,-0.1831815285546685,0.41184632712064523,65
54,North America,"Pumpkins, squash and gourds",-0.018379599557260075,0.6956869157612751,0.459910084720645,0.26414605540069586,0.03677334515878067,0.10705742266902277,-0.0008991591748975234,431
55,North America,Cucumbers and gherkins,-0.027679053190177865,0.8422488628730154,0.8879895538437749,0.08405066897783255,0.0011849406852877773,0.04306851218118998,-0.108982309686741,552
56,North America,Rape or colza seed,-0.08524402252829183,-0.5049575858419142,-0.608167135272663,-0.29820141183609067,-0.05024236803662624,-0.019018627909466127,0.2046186138194051,128
57,North America,Cherries,-0.03980623344432537,0.5971929109635867,0.7194226562143438,0.23629702009966186,0.034678984039646005,0.06733477558856979,-0.09805000843398849,131
58,North America,Raspberries,-0.061629721456517655,0.2563022963908428,0.3567282111381644,0.22993982882358444,0.007105647887647246,0.06619551745254297,-0.03268786995816806,128
59,North America,Strawberries,-0.09103625311980512,0.42441296043273735,0.7873503281152261,0.38010367025829844,0.004369648495663561,-0.028657297635706878,0.012768876073315621,191
60,North America,Blueberries,-0.061629721456517655,0.036145617368282465,-0.10754554852373187,0.4246031952528606,-0.13513058048688414,-0.083739501504484,-0.0090156740911212,128
